ID,Name,Designator,Footprint,Quantity
1,10k,"R6, R10, R13, R16, R17, R18, R21",R0805,7
2,1k,"R4, R9, R26, R27, R28, R29",R0805,6
3,100k,"R2, R11, R15, R19, R30, R31, R32, R33, R39, R41, R43, R45, R46, R47, R48, R49, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65",R0805,28
4,49.9k,"R3, R34, R35, R36, R37",R0805,5
5,47k,"R38, R40, R42, R44, R66, R67, R68, R69",R0805,8
6,68k,"R50, R51, R52, R53",R0805,4
7,LM339ADR,U11,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1
8,0.1uF,"C1, C2, C8, C10, C12, C13, C15, C16, C17, C22, C23, C24, C25, C26, C27, C28, C29, C38, C39, C40, C49, C50, C51, C52, C53, C54, C55",C0805,27
9,10uF,"C7, C30, C37",C0805,3
10,100pF,"C31, C32",C0805,2
11,2.2nF C0G,"C33, C34, C35, C36",C0805,4
12,22pF,"C9, C11, C18, C19, C20, C21, C41, C42, C43, C44, C45, C46, C47, C48",C0805,14
13,1N5819,"D2, D3, D4, D5",SOD-123_FOR-5819,4
14,CD40106BM96,"U2, U4",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2
15,TLV2774INE4,"U5, U14",SO14,2
16,X4611WV-05I-C28D40,"H1, H3",HDR-TH_5P-P2.00-V-M,2
17,X4611WV-04I-C28D40,H2,HDR-TH_4P-P2.00-V-M,1
18,Ferrite,"F1, F2",R0805,2
19,10nF,"C3, C4, C5, C6",C0805,4
20,LF398S8#TRPBF,"U6, U7, U8, U9",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,4
21,1N4148,"D1, D6, D7, D8, D9, D10, D11, D12, D13",SOD-80_L3.5-W1.5-FD,9
22,TL074_SMD,"U12, U13, U15",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,3
23,100k,VR2,PV36W-MULTITURN-TRIMMER,1
24,20k,VR1,PV36W-MULTITURN-TRIMMER,1
25,MC7805BDTRKG,U10,TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW,1
26,1uF,C14,C0805,1
27,74HC3G14DP-Q100H,U3,TSSOP-8_L3.0-W3.0-P0.65-LS4.0-BL,1
28,IDC Box 2.54mm 2X5P,P1,EURO_PWR_HEADER_LOCK,1
29,150k,R5,R0805,1
30,4.7k,"R1, R22, R23, R24, R25",R0805,5
31,2N3904(TO-92),Q1,TO92,1
32,TL072_SMD,U1,SO08,1
33,220k,"R7, R8",R0805,2
34,1M,"R12, R14",R0805,2